Jelzés;Pálya;Település;Jelenlegi;Javasolt;Eltérés;Utolsó nyom;Családok;Források;Saját honlap;Indok;Döntés
SARGA;Melton Entertainment Park (Tabcorp Park);Melton, VIC;active;inactive;IGEN;2011-05-19;1;enciklopedia;;utolsó nyom 183 hónapja (2011-05-19);
PIROS;Club Menangle (Menangle Park Paceway);Menangle Park, NSW;active;closed;IGEN;;1;enciklopedia;;Wikidata megszűnési dátum: http://www;
ZOLD;Albion Park Raceway;Brisbane, QLD;active;active;;2026-08-20;2;allami, enciklopedia;;versenynyom: 2026-08-20;
SARGA;Gloucester Park;East Perth, WA;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Globe Derby Park;Adelaide, SA;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
ZOLD;Redcliffe Paceway;Redcliffe, QLD;active;active;;2026-08-20;2;allami, enciklopedia;;versenynyom: 2026-08-20;
SARGA;Bathurst Paceway;Bathurst, NSW;active;inactive;IGEN;2010-12-17;1;enciklopedia;;utolsó nyom 188 hónapja (2010-12-17);
SARGA;Newcastle Paceway;New Lambton, NSW;active;inactive;IGEN;2010-12-17;1;enciklopedia;;utolsó nyom 188 hónapja (2010-12-17);
SARGA;Bendigo Harness Racing Club;Junortoun, VIC;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Ballarat & District Trotting Club;Redan (Ballarat), VIC;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Shepparton Harness Racing Club;Kialla, VIC;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Cranbourne Harness Racing Club;Cranbourne, VIC;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Pinjarra Paceway;Pinjarra, WA;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Bunbury Trotting Club;Carey Park (Bunbury), WA;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Northam Race Club;Northam, WA;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Mowbray Racecourse;Launceston, TAS;active;unknown;IGEN;;2;allami, enciklopedia;;2 forráscsalád említi, de versenydátum nélkül;
SARGA;Elwick Racecourse;Glenorchy (Hobart), TAS;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Devonport Racing Club;Spreyton, TAS;active;unknown;IGEN;;2;allami, enciklopedia;;2 forráscsalád említi, de versenydátum nélkül;
SARGA;Cowra;Cowra, NSW;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Gawler;Gawler, SA;active;unknown;IGEN;;2;allami, enciklopedia;;2 forráscsalád említi, de versenydátum nélkül;
SARGA;Kapunda;Kapunda, SA;active;unknown;IGEN;;1;allami;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Port Pirie;Port Pirie, SA;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Bacchus Marsh;Bacchus Marsh, VIC;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Bankstown Paceway;Bankstown, NSW;active;inactive;IGEN;2010-12-17;1;enciklopedia;kihagyva (robots.txt nem érhető el);utolsó nyom 188 hónapja (2010-12-17);
SARGA;Benalla;Benalla, VIC;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Birchip;Birchip, VIC;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Blayney;Blayney, NSW;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Boort;Boort, VIC;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Bridgetown;Bridgetown, WA;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Broken Hill;Broken Hill, NSW;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Bulli;Bulli, NSW;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Burnie;Wivenhoe, TAS;active;unknown;IGEN;;1;enciklopedia;;nincs elég bizonyíték – kézi ellenőrzés kell;
SARGA;Byford;Byford, WA;active;unknown;IGEN;;0;;;nincs elég bizonyíték – kézi ellenőrzés kell;
PIROS;Canberra (EPIC);Mitchell, ACT;active;closed;IGEN;;1;enciklopedia;;Wikidata megszűnési dátum: 2002-06-09;
